@relation yprop_4_1_splits

@attribute type {TRAIN,TEST}
@attribute rowid numeric
@attribute repeat numeric
@attribute fold numeric

@data
TRAIN,7431,0,0
TRAIN,2900,0,0
TRAIN,978,0,0
TRAIN,2928,0,0
TRAIN,903,0,0
TRAIN,2416,0,0
TRAIN,1481,0,0
TRAIN,4147,0,0
TRAIN,8724,0,0
TRAIN,1693,0,0
TRAIN,959,0,0
TRAIN,8298,0,0
TRAIN,7828,0,0
TRAIN,3519,0,0
TRAIN,1134,0,0
TRAIN,3318,0,0
TRAIN,4864,0,0
TRAIN,2458,0,0
TRAIN,5484,0,0
TRAIN,845,0,0
TRAIN,7822,0,0
TRAIN,6991,0,0
TRAIN,6644,0,0
TRAIN,113,0,0
TRAIN,1890,0,0
TRAIN,1526,0,0
TRAIN,1312,0,0
TRAIN,1212,0,0
TRAIN,7675,0,0
TRAIN,3295,0,0
TRAIN,1761,0,0
TRAIN,2683,0,0
TRAIN,1464,0,0
TRAIN,3029,0,0
TRAIN,703,0,0
TRAIN,3678,0,0
TRAIN,8356,0,0
TRAIN,1943,0,0
TRAIN,7553,0,0
TRAIN,489,0,0
TRAIN,4950,0,0
TRAIN,7590,0,0
TRAIN,2588,0,0
TRAIN,56,0,0
TRAIN,5606,0,0
TRAIN,6975,0,0
TRAIN,2134,0,0
TRAIN,4902,0,0
TRAIN,2925,0,0
TRAIN,5286,0,0
TRAIN,6334,0,0
TRAIN,7589,0,0
TRAIN,7572,0,0
TRAIN,11,0,0
TRAIN,6559,0,0
TRAIN,5134,0,0
TRAIN,6178,0,0
TRAIN,7255,0,0
TRAIN,4473,0,0
TRAIN,5931,0,0
TRAIN,1737,0,0
TRAIN,7882,0,0
TRAIN,7253,0,0
TRAIN,4145,0,0
TRAIN,3504,0,0
TRAIN,683,0,0
TRAIN,5780,0,0
TRAIN,2768,0,0
TRAIN,3653,0,0
TRAIN,4681,0,0
TRAIN,603,0,0
TRAIN,1308,0,0
TRAIN,6077,0,0
TRAIN,7281,0,0
TRAIN,6626,0,0
TRAIN,4383,0,0
TRAIN,8599,0,0
TRAIN,2726,0,0
TRAIN,2961,0,0
TRAIN,744,0,0
TRAIN,3592,0,0
TRAIN,7979,0,0
TRAIN,7103,0,0
TRAIN,3571,0,0
TRAIN,7911,0,0
TRAIN,1410,0,0
TRAIN,3840,0,0
TRAIN,2830,0,0
TRAIN,3776,0,0
TRAIN,3421,0,0
TRAIN,8326,0,0
TRAIN,7430,0,0
TRAIN,6878,0,0
TRAIN,6228,0,0
TRAIN,7054,0,0
TRAIN,5002,0,0
TRAIN,283,0,0
TRAIN,3046,0,0
TRAIN,5833,0,0
TRAIN,2053,0,0
TRAIN,8229,0,0
TRAIN,1680,0,0
TRAIN,3881,0,0
TRAIN,1592,0,0
TRAIN,5631,0,0
TRAIN,7278,0,0
TRAIN,3625,0,0
TRAIN,5159,0,0
TRAIN,3413,0,0
TRAIN,6385,0,0
TRAIN,294,0,0
TRAIN,4643,0,0
TRAIN,3352,0,0
TRAIN,4354,0,0
TRAIN,6782,0,0
TRAIN,735,0,0
TRAIN,5527,0,0
TRAIN,6826,0,0
TRAIN,2921,0,0
TRAIN,4047,0,0
TRAIN,505,0,0
TRAIN,3868,0,0
TRAIN,4444,0,0
TRAIN,196,0,0
TRAIN,6583,0,0
TRAIN,2641,0,0
TRAIN,5262,0,0
TRAIN,4394,0,0
TRAIN,2985,0,0
TRAIN,5107,0,0
TRAIN,7337,0,0
TRAIN,5238,0,0
TRAIN,4993,0,0
TRAIN,5079,0,0
TRAIN,6996,0,0
TRAIN,7599,0,0
TRAIN,2165,0,0
TRAIN,5811,0,0
TRAIN,2988,0,0
TRAIN,3471,0,0
TRAIN,3031,0,0
TRAIN,7433,0,0
TRAIN,8001,0,0
TRAIN,7090,0,0
TRAIN,1412,0,0
TRAIN,4273,0,0
TRAIN,4574,0,0
TRAIN,2531,0,0
TRAIN,7636,0,0
TRAIN,6397,0,0
TRAIN,3817,0,0
TRAIN,731,0,0
TRAIN,8734,0,0
TRAIN,588,0,0
TRAIN,2349,0,0
TRAIN,3239,0,0
TRAIN,1386,0,0
TRAIN,3838,0,0
TRAIN,3290,0,0
TRAIN,7915,0,0
TRAIN,3466,0,0
TRAIN,7494,0,0
TRAIN,6942,0,0
TRAIN,3924,0,0
TRAIN,164,0,0
TRAIN,8550,0,0
TRAIN,3134,0,0
TRAIN,3560,0,0
TRAIN,8153,0,0
TRAIN,7320,0,0
TRAIN,6800,0,0
TRAIN,7408,0,0
TRAIN,3530,0,0
TRAIN,1197,0,0
TRAIN,480,0,0
TRAIN,7245,0,0
TRAIN,8158,0,0
TRAIN,4167,0,0
TRAIN,585,0,0
TRAIN,2254,0,0
TRAIN,5757,0,0
TRAIN,998,0,0
TRAIN,1196,0,0
TRAIN,6993,0,0
TRAIN,8169,0,0
TRAIN,3343,0,0
TRAIN,6965,0,0
TRAIN,6718,0,0
TRAIN,8344,0,0
